Brand Name;2023 Final scores - SECTION 1;2023 FINAL PERCENTAGES -  SECTION 1;2022 Final scores - SECTION 1;2022 FINAL PERCENTAGES -  SECTION 1;% change in score 2022-2023;2021 Final scores - SECTION 1;2021 FINAL PERCENTAGES -  SECTION 1;% change in score 2021-2023;2020 Final scores - SECTION 1;2020 FINAL PERCENTAGES -  SECTION 1;% change in score 2020-2023;2019 Final scores - SECTION 1;2019 FINAL PERCENTAGES -  SECTION 1;% change in score 2019-2023;2018 Final scores - SECTION 1;2018 FINAL PERCENTAGES -  SECTION 1;% change in score 2018-2023;2017 Final scores  - SECTION 1;2017 FINAL PERCENTAGES - SECTION 1;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Triumph;6;18,18%;6,75;20,45%;-2,27%;7,5;22,73%;-4,55%;15;31,91%;-13,73%;16,5;33,67%;-15,49%;13;27,08%;-8,90%;15,5;31,00%;-12,82%;;;;;;;;;;;;;;;;;
Truworths;8,5;25,76%;3,25;9,85%;15,91%;15,5;46,97%;-21,21%;22,5;47,87%;-22,11%;;;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
UGG;23,75;71,97%;21;63,64%;8,33%;22,25;67,42%;4,55%;26,5;56,38%;15,59%;21,5;43,88%;28,09%;;;;;;;;;;;;;;;;;;;;;;;
Under Armour;18,25;55,30%;14,75;44,70%;10,61%;16,75;50,76%;4,55%;32;68,09%;-12,78%;34;69,39%;-14,08%;17,5;36,46%;18,84%;11,5;23,00%;32,30%;;;;;;;;;;;;;;;;;
Uniqlo;26,5;80,30%;25,5;77,27%;3,03%;28,25;85,61%;-5,30%;37;78,72%;1,58%;38,5;78,57%;1,73%;32,5;67,71%;12,59%;28;56,00%;24,30%;;;;;;;;;;;;;;;;;
United Arrows;19,5;59,09%;14;42,42%;16,67%;13,75;41,67%;17,42%;14,5;30,85%;28,24%;;;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
United Colors of Benetton;27,5;83,33%;30;90,91%;-7,58%;30,25;91,67%;-8,33%;39,5;84,04%;-0,71%;35;71,43%;11,90%;25;52,08%;31,25%;23;46,00%;37,33%;;;;;;;;;;;;;;;;;
Urban Outfitters;12,5;37,88%;10,75;32,58%;5,30%;13,25;40,15%;-2,27%;16,5;35,11%;2,77%;12,5;25,51%;12,37%;9,5;19,79%;18,09%;11,5;23,00%;14,88%;;;;;;;;;;;;;;;;;
Valentino;11,75;35,61%;7,25;21,97%;13,64%;10,25;31,06%;4,55%;16,5;35,11%;0,50%;17;34,69%;0,91%;13;27,08%;8,52%;;;;;;;;;;;;;;;;;;;;
Van Heusen;0;0,00%;1,75;5,30%;-5,30%;29,5;89,39%;-89,39%;41,5;88,30%;-88,30%;42;85,71%;-85,71%;43,5;90,63%;-90,63%;;;;;;;;;;;;;;;;;;;;
