Brand Name;2023 Final scores - SECTION 1;2023 FINAL PERCENTAGES -  SECTION 1;2022 Final scores - SECTION 1;2022 FINAL PERCENTAGES -  SECTION 1;% change in score 2022-2023;2021 Final scores - SECTION 1;2021 FINAL PERCENTAGES -  SECTION 1;% change in score 2021-2023;2020 Final scores - SECTION 1;2020 FINAL PERCENTAGES -  SECTION 1;% change in score 2020-2023;2019 Final scores - SECTION 1;2019 FINAL PERCENTAGES -  SECTION 1;% change in score 2019-2023;2018 Final scores - SECTION 1;2018 FINAL PERCENTAGES -  SECTION 1;% change in score 2018-2023;2017 Final scores  - SECTION 1;2017 FINAL PERCENTAGES - SECTION 1;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Carter's;23,25;70,45%;20;60,61%;9,85%;16,75;50,76%;19,70%;;;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
CELINE;27,5;83,33%;23,75;71,97%;11,36%;26,5;80,30%;3,03%;37;78,72%;4,61%;33,5;68,37%;14,97%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
celio;0,75;2,27%;1,25;3,79%;-1,52%;1;3,03%;-0,76%;3,5;7,45%;-5,17%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Champion;21,75;65,91%;20,75;62,88%;3,03%;21,25;64,39%;1,52%;25;53,19%;12,72%;23;46,94%;18,97%;21;43,75%;22,16%;17;34,00%;31,91%;;;;;;;;;;;;;;;;;
Chanel;9,5;28,79%;13,75;41,67%;-12,88%;15;45,45%;-16,67%;20,5;43,62%;-14,83%;17,5;35,71%;-6,93%;3,5;7,29%;21,50%;1,5;3,00%;25,79%;;;;;;;;;;;;;;;;;
Chico's;17,25;52,27%;10,5;31,82%;20,45%;13;39,39%;12,88%;18,5;39,36%;12,91%;15;30,61%;21,66%;13;27,08%;25,19%;7,5;15,00%;37,27%;;;;;;;;;;;;;;;;;
Chloé;24;72,73%;24,5;74,24%;-1,52%;18;54,55%;18,18%;31;65,96%;6,77%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Clarks;11,75;35,61%;20;60,61%;-25,00%;22,25;67,42%;-31,82%;32;68,09%;-32,48%;30;61,22%;-25,62%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
COACH;20,75;62,88%;20,25;61,36%;1,52%;19;57,58%;5,30%;28;59,57%;3,30%;30;61,22%;1,65%;22;45,83%;17,05%;26,5;53,00%;9,88%;;;;;;;;;;;;;;;;;
Columbia Sportswear;20,75;62,88%;21,25;64,39%;-1,52%;18,25;55,30%;7,58%;23,5;50,00%;12,88%;18;36,73%;26,14%;16;33,33%;;19,5;39,00%;23,88%;;;;;;;;;;;;;;;;;
Converse;28,75;87,12%;30,5;92,42%;-5,30%;30,5;92,42%;-5,30%;43;91,49%;-4,37%;44;89,80%;-2,67%;40;83,33%;3,79%;38;76,00%;11,12%;;;;;;;;;;;;;;;;;
Cortefiel;21,25;64,39%;17,75;53,79%;10,61%;19;57,58%;6,82%;22,5;47,87%;16,52%;26,5;54,08%;10,31%;24,5;51,04%;13,35%;;;#VALUE!;;;;;;;;;;;;;;;;;
Costco;12,25;37,12%;13,25;40,15%;-3,03%;16,25;49,24%;-12,12%;26;55,32%;-18,20%;25,5;52,04%;-14,92%;18,5;38,54%;-1,42%;13,5;27,00%;10,12%;;;;;;;;;;;;;;;;;
Cotton On;14,75;44,70%;14,5;43,94%;0,76%;13;39,39%;5,30%;17,5;37,23%;7,46%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Decathlon;22,5;68,18%;21,75;65,91%;2,27%;23;69,70%;-1,52%;28,5;60,64%;7,54%;29,5;60,20%;7,98%;26;54,17%;;;;#VALUE!;;;;;;;;;;;;;;;;;
Deichmann;5,5;16,67%;6,25;18,94%;-2,27%;6;18,18%;-1,52%;;;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Desigual;16,5;50,00%;17,25;52,27%;-2,27%;18,5;56,06%;-6,06%;26;55,32%;-5,32%;13,5;27,55%;22,45%;0;0,00%;50,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Dick's Sporting Goods;19,5;59,09%;20,5;62,12%;-3,03%;20,75;62,88%;-3,79%;26;55,32%;3,77%;13;26,53%;32,56%;12;25,00%;34,09%;;;#VALUE!;;;;;;;;;;;;;;;;;
Diesel;19,25;58,33%;12,5;37,88%;20,45%;14;42,42%;15,91%;18,5;39,36%;18,97%;18,5;37,76%;20,58%;4;8,33%;50,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Dillard's;5,25;15,91%;6;18,18%;-2,27%;6,25;18,94%;-3,03%;13;27,66%;-11,75%;8,5;17,35%;-1,44%;7,5;15,63%;0,28%;8;16,00%;-0,09%;;;;;;;;;;;;;;;;;
Dior;26;78,79%;23,25;70,45%;8,33%;26,5;80,30%;-1,52%;37;78,72%;0,06%;34;69,39%;9,40%;0;0,00%;78,79%;0;0,00%;78,79%;;;;;;;;;;;;;;;;;
Disney;16;48,48%;13,25;40,15%;8,33%;16,25;49,24%;-0,76%;24;51,06%;-2,58%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
DKNY;1,5;4,55%;2,5;7,58%;-3,03%;2,5;7,58%;-3,03%;4;8,51%;-3,97%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Dolce & Gabbana;2,25;6,82%;2,25;6,82%;0,00%;4;12,12%;-5,30%;8,5;18,09%;-11,27%;8,5;17,35%;-10,53%;3;6,25%;;;;#VALUE!;;;;;;;;;;;;;;;;;
Dr. Martens;24;72,73%;19,75;59,85%;12,88%;16,25;49,24%;23,48%;16;34,04%;38,68%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Dressmann;29,25;88,64%;27;81,82%;6,82%;27;81,82%;6,82%;35;74,47%;14,17%;29;59,18%;29,45%;21;43,75%;;;;#VALUE!;;;;;;;;;;;;;;;;;
DSW;10,25;31,06%;10,25;31,06%;0,00%;11,5;34,85%;-3,79%;18;38,30%;-7,24%;13;26,53%;4,53%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Eddie Bauer;7,5;22,73%;6,5;19,70%;3,03%;5,25;15,91%;6,82%;9,5;20,21%;2,51%;8,5;17,35%;5,38%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
El Corte Inglés;21,5;65,15%;21,5;65,15%;0,00%;24,25;73,48%;-8,33%;31,5;67,02%;-1,87%;29,5;60,20%;4,95%;15,5;32,29%;;;;#VALUE!;;;;;;;;;;;;;;;;;
Ermenegildo Zegna;18,5;56,06%;14,25;43,18%;12,88%;11;33,33%;22,73%;17;36,17%;19,89%;8;16,33%;39,73%;6;12,50%;43,56%;3,5;7,00%;49,06%;;;;;;;;;;;;;;;;;
Esprit;23;69,70%;27,5;83,33%;-13,64%;27,75;84,09%;-14,39%;40,5;86,17%;-16,47%;41,5;84,69%;-15,00%;43;89,58%;;39,5;79,00%;-9,30%;;;;;;;;;;;;;;;;;
Express;9,25;28,03%;8;24,24%;3,79%;7,75;23,48%;4,55%;12;25,53%;2,50%;10;20,41%;7,62%;10;20,83%;7,20%;7,5;15,00%;13,03%;;;;;;;;;;;;;;;;;
Fabletics;2;6,06%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Falabella;9,5;28,79%;14,25;43,18%;-14,39%;18,25;55,30%;-26,52%;19,5;41,49%;-12,70%;18;36,73%;-7,95%;19;39,58%;-10,80%;;;#VALUE!;;;;;;;;;;;;;;;;;
Famous Footwear;12,75;38,64%;10,75;32,58%;6,06%;10;30,30%;8,33%;16;34,04%;4,59%;11;22,45%;16,19%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fanatics;15,25;46,21%;11,25;34,09%;12,12%;6,5;19,70%;26,52%;12,5;26,60%;19,62%;5,5;11,22%;34,99%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Fashion Nova;0,75;2,27%;0,75;2,27%;0,00%;0,5;1,52%;0,76%;3;6,38%;-4,11%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Fendi;27,5;83,33%;25,25;76,52%;6,82%;26,5;80,30%;3,03%;37;78,72%;4,61%;33,5;68,37%;14,97%;30;62,50%;;;;#VALUE!;;;;;;;;;;;;;;;;;
Fila;18,25;55,30%;16,5;50,00%;5,30%;6,75;20,45%;34,85%;12,5;26,60%;28,71%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fjällräven;28;84,85%;17,5;53,03%;31,82%;23;69,70%;15,15%;38;80,85%;4,00%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Foot Locker;11;33,33%;11;33,33%;0,00%;9,25;28,03%;5,30%;13,5;28,72%;4,61%;11;22,45%;10,88%;10;20,83%;;;;#VALUE!;;;;;;;;;;;;;;;;;
Foschini;17,75;53,79%;16,5;50,00%;3,79%;13,75;41,67%;12,12%;16;34,04%;19,75%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fossil;18,75;56,82%;17,75;53,79%;3,03%;16,25;49,24%;7,58%;21;44,68%;12,14%;24,5;50,00%;6,82%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Free People;12,5;37,88%;10,75;32,58%;5,30%;13,25;40,15%;-2,27%;16,5;35,11%;2,77%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Fruit of the Loom;19,75;59,85%;22,5;68,18%;-8,33%;21;63,64%;-3,79%;;;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
