Brand Name;2023 Final scores - SECTION 4;2023 FINAL PERCENTAGES -  SECTION 4;2022 Final scores - SECTION 5;2022 FINAL PERCENTAGES -  SECTION 5;% change in score 2022-2023;2021 Final scores - SECTION 5;2021 FINAL PERCENTAGES -  SECTION 5;% change in score 2021-2023;2020 Final scores - SECTION 5;2020 FINAL PERCENTAGES -  SECTION 5;% change in score 2020-2023;2019 Final scores - SECTION 5;2019 FINAL PERCENTAGES -  SECTION 5;% change in score 2019-2023;2018 Final scores - SECTION 5;2018 FINAL PERCENTAGES -  SECTION 5;% change in score 2018-2023;2017 Final scores  - SECTION 5;2017 FINAL PERCENTAGES - SECTION 5;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Abercrombie & Fitch;10;11,11%;9;10,84%;0,27%;10;12,05%;-0,94%;8;16,33%;-5%;4;11,76%;-0,65%;1;3,33%;7,78%;0;0,00%;11,11%;;;;;;;;;;;;;;;;;
Adidas;35;38,89%;26;31,33%;7,56%;32;38,55%;0,33%;29;59,18%;-20%;20;58,82%;-19,93%;15;50,00%;-11,11%;6;21,43%;17,46%;;;;;;;;;;;;;;;;;
Aeropostale;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
AJIO;1;1,11%;2;2,41%;-1,30%;2;2,41%;-1,30%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
ALDI Nord;14;15,56%;14;16,87%;-1,31%;12;14,46%;1,10%;8;16,33%;-1%;4;11,76%;3,79%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
ALDI SOUTH;20;22,22%;16;19,28%;2,95%;15;18,07%;4,15%;8;16,33%;6%;4;11,76%;10,46%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
ALDO;4;4,44%;6;7,23%;-2,78%;8;9,64%;-5,19%;5;10,20%;-6%;4;11,76%;-7,32%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Amazon;13;14,44%;20;24,10%;-9,65%;15;18,07%;-3,63%;6;12,24%;2%;2;5,88%;8,56%;0;0,00%;14,44%;0;0,00%;14,44%;;;;;;;;;;;;;;;;;
American Eagle;24;26,67%;17;20,48%;6,18%;10;12,05%;14,62%;7;14,29%;12%;4;11,76%;14,90%;3;10,00%;16,67%;0;0,00%;26,67%;;;;;;;;;;;;;;;;;
ANTA;0;0,00%;3;3,61%;-3,61%;4;4,82%;-4,82%;3;6,12%;-6%;4;11,76%;-11,76%;1;3,33%;-3,33%;;;#VALUE!;;;;;;;;;;;;;;;;;
Anthropologie;11;12,22%;14;16,87%;-4,65%;15;18,07%;-5,85%;3;6,12%;6%;0;0,00%;12,22%;0;0,00%;12,22%;0;0,00%;12,22%;;;;;;;;;;;;;;;;;
Aritzia;14;15,56%;12;14,46%;1,10%;17;20,48%;-4,93%;7;14,29%;1%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Armani;19;21,11%;14;16,87%;4,24%;7;8,43%;12,68%;1;2,04%;19%;0;0,00%;21,11%;0;0,00%;21,11%;0;0,00%;21,11%;;;;;;;;;;;;;;;;;
Asda;11;12,22%;11;13,25%;-1,03%;22;26,51%;-14,28%;13;26,53%;-14%;13;38,24%;-26,01%;5;16,67%;-4,44%;0;0,00%;12,22%;;;;;;;;;;;;;;;;;
ASICS;28;31,11%;22;26,51%;4,61%;28;33,73%;-2,62%;15;30,61%;0%;8;23,53%;7,58%;2;6,67%;24,44%;3;10,71%;20,40%;;;;;;;;;;;;;;;;;
ASOS;28;31,11%;31;37,35%;-6,24%;20;24,10%;7,01%;21;42,86%;-12%;19;55,88%;-24,77%;14;46,67%;-15,56%;8;28,57%;2,54%;;;;;;;;;;;;;;;;;
Balenciaga;51;56,67%;44;53,01%;3,65%;39;46,99%;9,68%;22;44,90%;12%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
