Brand Name;2023 Final scores - SECTION 3;2023 FINAL PERCENTAGES -  SECTION 3;2022 Final scores - SECTION 3;2022 FINAL PERCENTAGES -  SECTION 3;% change in score 2022-2023;2021 Final scores - SECTION 3;2021 FINAL PERCENTAGES -  SECTION 3;% change in score 2021-2022;2020 Final scores - SECTION 3;2020 FINAL PERCENTAGES -  SECTION 3;% change in score 2020-2021;2019 Final scores - SECTION 3;2019 FINAL PERCENTAGES -  SECTION 3;% change in score 2019-2022;2018 Final scores - SECTION 3;2018 FINAL PERCENTAGES -  SECTION 3;% change in score 2018-2022;2017 Final scores  - SECTION 3;2017 FINAL PERCENTAGES - SECTION 3;% change in score 2017-2022;Percentage of brands in the Index, which have been targeted by the Transparency Pledge;;;;;;;;;;;;;;;;
Pull&Bear;8;10,81%;1;1,37%;9,44%;1;1,35%;9,46%;15;18,99%;-8%;16;18,82%;-8,01%;11;12,94%;-2,13%;10;11,76%;-0,95%;;;;;;;;;;;;;;;;;
Puma;45;60,81%;35;47,95%;12,87%;30;40,54%;20,27%;37;46,84%;14%;37;43,53%;17,28%;39;45,88%;14,93%;22;25,88%;34,93%;;;;;;;;;;;;;;;;;
Quiksilver;1;1,35%;0;0,00%;1,35%;0;0,00%;1,35%;0;0,00%;1%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Ralph Lauren;41;55,41%;36;49,32%;6,09%;1;1,35%;54,05%;1;1,27%;54%;1;1,18%;54,23%;1;1,18%;54,23%;1;1,18%;54,23%;;;;;;;;;;;;;;;;;
Reebok;0;0,00%;40;54,79%;-54,79%;43;58,11%;-58,11%;49;62,03%;-62%;43;50,59%;-50,59%;39;45,88%;-45,88%;29;34,12%;-34,12%;;;;;;;;;;;;;;;;;
REI;15;20,27%;15;20,55%;-0,28%;11;14,86%;5,41%;11;13,92%;6%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Reliance Trends;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Reserved;1;1,35%;1;1,37%;-0,02%;1;1,35%;0,00%;1;1,27%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
REVOLVE;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
River Island;26;35,14%;17;23,29%;11,85%;19;25,68%;9,46%;21;26,58%;9%;0;0,00%;35,14%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Romwe;0;0,00%;0;0,00%;0,00%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Ross Dress for Less;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
Roxy;1;1,35%;0;0,00%;1,35%;0;0,00%;1,35%;0;0,00%;1%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Russell Athletic;35;47,30%;36;49,32%;-2,02%;26;35,14%;12,16%;39;49,37%;-2%;20;23,53%;23,77%;8;9,41%;37,89%;8;9,41%;37,89%;;;;;;;;;;;;;;;;;
s.Oliver;43;58,11%;24;32,88%;25,23%;1;1,35%;56,76%;1;1,27%;57%;1;1,18%;56,93%;0;0,00%;58,11%;0;0,00%;58,11%;;;;;;;;;;;;;;;;;
Sainsbury's;47;63,51%;40;54,79%;8,72%;48;64,86%;-1,35%;43;54,43%;9%;23;27,06%;36,45%;0;0,00%;63,51%;;;#VALUE!;;;;;;;;;;;;;;;;;
SAINT LAURENT;7;9,46%;8;10,96%;-1,50%;8;10,81%;-1,35%;10;12,66%;-3%;1;1,18%;8,28%;1;1,18%;8,28%;1;1,18%;8,28%;;;;;;;;;;;;;;;;;
Saks Fifth Avenue;7;9,46%;0;0,00%;9,46%;7;9,46%;0,00%;9;11,39%;-2%;9;10,59%;-1,13%;8;9,41%;0,05%;9;10,59%;-1,13%;;;;;;;;;;;;;;;;;
Salvatore Ferragamo;1;1,35%;1;1,37%;-0,02%;1;1,35%;0,00%;1;1,27%;0%;0;0,00%;1,35%;1;1,18%;0,17%;;;#VALUE!;;;;;;;;;;;;;;;;;
Sandro;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Savage X Fenty;0;0,00%;#N/A;#VALUE!;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Semir;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
SHEIN;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Shimamura;0;0,00%;0;0,00%;0,00%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Skechers;0;0,00%;0;0,00%;0,00%;1;1,35%;-1,35%;0;0,00%;0%;0;0,00%;0,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Speedo;42;56,76%;41;56,16%;0,59%;44;59,46%;-2,70%;24;30,38%;26%;23;27,06%;29,70%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
